epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,903.787,1.55623,1.53731,1.64575,0.70173,0.69691,0.74777,0.39133,1.63085,1.39565,1.78147,0.0011884,0.0011884,0.0011884
60,920.362,1.55825,1.46286,1.62828,0.74392,0.60679,0.71295,0.35625,1.55181,1.55284,1.82998,0.00118015,0.00118015,0.00118015
61,933.586,1.50144,1.45042,1.57846,0.75954,0.73719,0.81744,0.45383,1.40718,1.17552,1.663,0.0011719,0.0011719,0.0011719
62,950.274,1.49155,1.42086,1.55129,0.85625,0.701,0.83011,0.44897,1.52116,1.21782,1.7363,0.00116365,0.00116365,0.00116365
63,966.79,1.53441,1.41856,1.65712,0.87348,0.73463,0.85504,0.45027,1.55065,1.20753,1.7548,0.0011554,0.0011554,0.0011554
64,985.469,1.54013,1.4436,1.63718,0.75794,0.69637,0.76807,0.41023,1.46774,1.12856,1.69002,0.00114715,0.00114715,0.00114715
65,1003.95,1.49604,1.4453,1.57377,0.81921,0.76329,0.84167,0.47108,1.39786,1.0061,1.61715,0.00113889,0.00113889,0.00113889
66,1021.14,1.4678,1.41076,1.54946,0.81514,0.76775,0.85309,0.48734,1.39127,1.02238,1.63223,0.00113064,0.00113064,0.00113064
67,1036.47,1.40614,1.28978,1.52083,0.84094,0.76521,0.87641,0.5082,1.34034,0.96961,1.55164,0.00112239,0.00112239,0.00112239
68,1052.35,1.5408,1.4081,1.58753,0.81697,0.76018,0.82947,0.47814,1.33798,1.02487,1.55504,0.00111414,0.00111414,0.00111414
69,1071.54,1.4356,1.35308,1.54567,0.82749,0.7421,0.848,0.51013,1.21375,1.02704,1.48885,0.00110589,0.00110589,0.00110589
70,1088.16,1.48142,1.385,1.56995,0.77856,0.81606,0.86103,0.50841,1.30415,1.00474,1.54837,0.00109764,0.00109764,0.00109764
71,1106.07,1.41679,1.33298,1.49703,0.79271,0.78887,0.84722,0.5075,1.25834,0.96988,1.50698,0.00108938,0.00108938,0.00108938
72,1126.95,1.47581,1.25113,1.54951,0.80908,0.7687,0.85073,0.5085,1.24904,1.00203,1.49603,0.00108113,0.00108113,0.00108113
73,1146.19,1.49771,1.43212,1.59485,0.79618,0.78635,0.84943,0.50264,1.26717,0.96234,1.50791,0.00107288,0.00107288,0.00107288
74,1160.3,1.39131,1.28608,1.53761,0.81353,0.7844,0.86768,0.54223,1.1741,0.98218,1.44051,0.00106463,0.00106463,0.00106463
75,1176.62,1.38989,1.27118,1.50931,0.84025,0.81917,0.90612,0.57568,1.15121,0.87749,1.42341,0.00105638,0.00105638,0.00105638
76,1190.42,1.33049,1.18584,1.47885,0.82414,0.84241,0.89128,0.57428,1.13754,0.85128,1.45007,0.00104813,0.00104813,0.00104813
77,1207.7,1.46376,1.31891,1.57212,0.85873,0.79441,0.89089,0.54383,1.21524,0.86827,1.4852,0.00103987,0.00103987,0.00103987
78,1224.21,1.37448,1.24719,1.46533,0.82608,0.82923,0.87284,0.5455,1.25032,0.93509,1.48042,0.00103162,0.00103162,0.00103162
79,1244.27,1.31526,1.26433,1.45028,0.85302,0.78606,0.89457,0.56625,1.22374,0.91278,1.48503,0.00102337,0.00102337,0.00102337
80,1258.36,1.3721,1.21409,1.47384,0.83287,0.79553,0.88737,0.56412,1.17367,0.8759,1.42788,0.00101512,0.00101512,0.00101512
81,1276.89,1.33554,1.15435,1.46124,0.83685,0.81322,0.88563,0.56669,1.13893,0.87246,1.41799,0.00100687,0.00100687,0.00100687
82,1291.71,1.34738,1.20131,1.4708,0.80778,0.84984,0.90759,0.58307,1.14672,0.81759,1.41604,0.000998616,0.000998616,0.000998616
83,1308.46,1.38722,1.21911,1.4855,0.85853,0.84822,0.92596,0.60306,1.1085,0.78717,1.37872,0.000990365,0.000990365,0.000990365
84,1324.12,1.39643,1.33936,1.5705,0.84858,0.8636,0.92473,0.6094,1.12369,0.7991,1.40903,0.000982113,0.000982113,0.000982113
85,1344.77,1.34327,1.1852,1.46355,0.82143,0.79984,0.87594,0.55033,1.20176,0.91865,1.46336,0.000973861,0.000973861,0.000973861
86,1360.13,1.38482,1.25828,1.52622,0.8536,0.85473,0.91994,0.61351,1.12515,0.81475,1.37888,0.00096561,0.00096561,0.00096561
87,1378.93,1.31381,1.18136,1.44527,0.84492,0.86741,0.91011,0.59313,1.14686,0.83201,1.38818,0.000957358,0.000957358,0.000957358
88,1393.81,1.28848,1.13414,1.42322,0.88529,0.87284,0.9388,0.64811,1.01962,0.75919,1.33636,0.000949106,0.000949106,0.000949106
89,1408.43,1.26619,1.05442,1.41563,0.84991,0.9024,0.9187,0.63356,1.0295,0.83212,1.34132,0.000940855,0.000940855,0.000940855
90,1424.02,1.28081,1.09584,1.4103,0.89468,0.88269,0.94423,0.66895,1.00782,0.70641,1.31948,0.000932603,0.000932603,0.000932603
91,1443.2,1.24128,1.11751,1.41356,0.91132,0.87951,0.94291,0.66683,1.05303,0.73874,1.3218,0.000924352,0.000924352,0.000924352
92,1460.65,1.26087,1.11771,1.42087,0.89363,0.84639,0.93566,0.64858,1.03756,0.73464,1.31483,0.0009161,0.0009161,0.0009161
93,1477.12,1.19267,1.05225,1.3706,0.87344,0.86902,0.92702,0.63799,1.0109,0.74269,1.30884,0.000907848,0.000907848,0.000907848
94,1497.41,1.30241,1.15264,1.44344,0.87217,0.8128,0.90663,0.62204,1.00145,0.78583,1.31005,0.000899597,0.000899597,0.000899597
95,1514.47,1.33131,1.24897,1.49103,0.86215,0.88204,0.93505,0.64865,0.96821,0.72579,1.28503,0.000891345,0.000891345,0.000891345
96,1533.35,1.26142,1.09789,1.39001,0.90153,0.90898,0.95422,0.65735,1.00411,0.72707,1.29962,0.000883093,0.000883093,0.000883093
